cluster,sub_cluster,hard_skills,soft_skills,description,riasec_sources,simulation_example
SUPPLY CHAIN & TRANSPORTATION,Marine Transportation,Navigation; vessel operations; maritime systems; safety standards,Situational awareness; responsibility,Operates and manages maritime vessels and port systems used for transporting goods and passengers.,Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"Inventory Analysis: Provide the individual with a fictional ""store"" that sells a single product. Give them a table showing daily demand forecasts for the next 10 days, along with the costs associated with ordering, storing, and losing a sale due to a stock-out. The participant's starting inventory is a fixed amount. The individual must create an ordering schedule to meet demand while minimizing total costs over the 10 days. They must decide when to place an order and how many items to order each time. Review their reasoning. Do they prioritize avoiding stock-outs, or do they focus on minimizing storage; Look for a balanced approach that considers all cost factors. 
 ; Forecasted demand: A varied list of numbers for 10 days.
 ; Ordering cost: A fixed cost per order placed.
 ; Holding cost: A cost per item stored per day.
 ; Stock-out cost: A cost per lost sale.

 Data analysis and forecasting: Provide a simple data set with historical sales data for a product over the last 12 months. Include some ""random"" market events, such as a competitor's promotion or a supply shortage, noted in the data. The individual must analyze the data to forecast demand for the next three months. They must write a short memo justifying their forecast and explaining which factors they considered. This activity assesses an individual's ability to use data for decision-making"
SUPPLY CHAIN & TRANSPORTATION,Planning & Logistics,Logistics planning; supply chain systems; data tracking; inventory flow,Organization; problem solving,Coordinates how materials and products move from production to consumers efficiently and on time.,Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"Inventory Analysis: Provide the individual with a fictional ""store"" that sells a single product. Give them a table showing daily demand forecasts for the next 10 days, along with the costs associated with ordering, storing, and losing a sale due to a stock-out. The participant's starting inventory is a fixed amount. The individual must create an ordering schedule to meet demand while minimizing total costs over the 10 days. They must decide when to place an order and how many items to order each time. Review their reasoning. Do they prioritize avoiding stock-outs, or do they focus on minimizing storage; Look for a balanced approach that considers all cost factors. 
 ; Forecasted demand: A varied list of numbers for 10 days.
 ; Ordering cost: A fixed cost per order placed.
 ; Holding cost: A cost per item stored per day.
 ; Stock-out cost: A cost per lost sale.

 Data analysis and forecasting: Provide a simple data set with historical sales data for a product over the last 12 months. Include some ""random"" market events, such as a competitor's promotion or a supply shortage, noted in the data. The individual must analyze the data to forecast demand for the next three months. They must write a short memo justifying their forecast and explaining which factors they considered. This activity assesses an individual's ability to use data for decision-making"
SUPPLY CHAIN & TRANSPORTATION,Purchasing & Warehousing,Inventory management; procurement; warehouse systems; supply coordination,Accuracy; efficiency,"Manages the purchasing, storage, and movement of goods within warehouses and distribution centers.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"Inventory Analysis: Provide the individual with a fictional ""store"" that sells a single product. Give them a table showing daily demand forecasts for the next 10 days, along with the costs associated with ordering, storing, and losing a sale due to a stock-out. The participant's starting inventory is a fixed amount. The individual must create an ordering schedule to meet demand while minimizing total costs over the 10 days. They must decide when to place an order and how many items to order each time. Review their reasoning. Do they prioritize avoiding stock-outs, or do they focus on minimizing storage; Look for a balanced approach that considers all cost factors. 
 ; Forecasted demand: A varied list of numbers for 10 days.
 ; Ordering cost: A fixed cost per order placed.
 ; Holding cost: A cost per item stored per day.
 ; Stock-out cost: A cost per lost sale.

 Data analysis and forecasting: Provide a simple data set with historical sales data for a product over the last 12 months. Include some ""random"" market events, such as a competitor's promotion or a supply shortage, noted in the data. The individual must analyze the data to forecast demand for the next three months. They must write a short memo justifying their forecast and explaining which factors they considered. This activity assesses an individual's ability to use data for decision-making"
DIGITAL TECHNOLOGY,Data Science & Artificial Intelligence,"Data analysis, statistics, spreadsheets, programming, data visualization, machine learning fundamentals, data management, model interpretation, ethical data use","Analytical thinking, problem solving, attention to detail, persistence, ethical judgment","Uses data, statistics, and computing to uncover patterns, power AI systems, and guide decisions across technology, healthcare, finance, and science.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1,"The ""Coding Challenge"" activity: Provide a simple coding problem and a set time to produce a solution. It doesn't need to be complex; the focus is on logical thinking, resourcefulness, and precision. 

 Design a user experience (UX): Provide the participant with a common problem, such as ""how to make a grocery list app more fun."" They must create a simple storyboard outlining the app's key features, visual interface (UI), and user flow. This assesses their empathy for users, problem-solving, and design thinking."
DIGITAL TECHNOLOGY,IT Support & Services,"Hardware troubleshooting, software installation, operating systems, system configuration, basic networking, documentation, technical support processes","Communication, patience, service orientation, adaptability, problem solving","Keeps modern technology running by supporting devices, software, and systems that people and organizations rely on every day.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1,"The ""Coding Challenge"" activity: Provide a simple coding problem and a set time to produce a solution. It doesn't need to be complex; the focus is on logical thinking, resourcefulness, and precision. 

Design a user experience (UX): Provide the participant with a common problem, such as ""how to make a grocery list app more fun."" They must create a simple storyboard outlining the app's key features, visual interface (UI), and user flow. This assesses their empathy for users, problem-solving, and design thinking."
DIGITAL TECHNOLOGY,Network Systems & Cybersecurity,"Network configuration, cybersecurity fundamentals, access control, system monitoring, threat detection, risk management, security protocols","Responsibility, focus, risk awareness, calm decision-making",Protects digital systems and data by managing networks and defending against cyber threats in an increasingly connected world.,Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1,"The ""Coding Challenge"" activity: Provide a simple coding problem and a set time to produce a solution. It doesn't need to be complex; the focus is on logical thinking, resourcefulness, and precision. 

 Design a user experience (UX): Provide the participant with a common problem, such as ""how to make a grocery list app more fun."" They must create a simple storyboard outlining the app's key features, visual interface (UI), and user flow. This assesses their empathy for users, problem-solving, and design thinking."
DIGITAL TECHNOLOGY,Software Solutions,"Programming, software development, debugging, testing, version control, application design, system integration","Logical reasoning, collaboration, adaptability, creativity","Builds the apps, platforms, and digital tools that power communication, entertainment, business, and everyday life.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1,"The ""Coding Challenge"" activity: Provide a simple coding problem and a set time to produce a solution. It doesn't need to be complex; the focus is on logical thinking, resourcefulness, and precision. 

 Design a user experience (UX): Provide the participant with a common problem, such as ""how to make a grocery list app more fun."" They must create a simple storyboard outlining the app's key features, visual interface (UI), and user flow. This assesses their empathy for users, problem-solving, and design thinking."
DIGITAL TECHNOLOGY,Unmanned Vehicle Technology,"Drone operation, automation basics, sensor systems, data collection, system calibration, safety regulations","Situational awareness, accountability, precision","Uses drones and autonomous systems to gather information, inspect environments, and support industries like agriculture, logistics, and emergency response.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1,"The ""Coding Challenge"" activity: Provide a simple coding problem and a set time to produce a solution. It doesn't need to be complex; the focus is on logical thinking, resourcefulness, and precision. 

 Design a user experience (UX): Provide the participant with a common problem, such as ""how to make a grocery list app more fun."" They must create a simple storyboard outlining the app's key features, visual interface (UI), and user flow. This assesses their empathy for users, problem-solving, and design thinking."
DIGITAL TECHNOLOGY,Web & Cloud,"Web development, backend systems, cloud platforms, deployment, data storage, system security, performance management","Organization, adaptability, user awareness","Creates and manages websites and cloud systems that deliver online services, store data, and support scalable digital products.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1,"The ""Coding Challenge"" activity: Provide a simple coding problem and a set time to produce a solution. It doesn't need to be complex; the focus is on logical thinking, resourcefulness, and precision. 

 Design a user experience (UX): Provide the participant with a common problem, such as ""how to make a grocery list app more fun."" They must create a simple storyboard outlining the app's key features, visual interface (UI), and user flow. This assesses their empathy for users, problem-solving, and design thinking."
MANAGEMENT & ENTREPRENEURSHIP,Business Information Management,"Data organization, spreadsheets, reporting, dashboards, databases, business systems, information analysis","Analytical thinking, attention to detail, decision-making",Turns data into insight by organizing information that helps organizations operate smarter and make better decisions.,Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"The ""In-Basket"" simulation: Provide participants with a series of emails, messages, and memos in an inbox. They must prioritize the items, make decisions based on the information given, and delegate tasks within a set time limit. This infers aptitude for management, organization, and critical thinking.

 The ""Survival Scenario"" challenge: Present a scenario, such as being stranded on a deserted island or a remote mountaintop. Provide a list of items and ask participants to rank them in order of importance for survival and they must justify their choices. This activity assesses problem-solving, logical reasoning, and teamwork.

 The resource allocation dilemma: Present a sudden, unforeseen problem, such as a project losing a key team member or a vendor failing to deliver critical materials. The participant must allocate limited resources (people, time, or budget) to mitigate the damage. Evaluate the participant’s rationale for their decisions. Does their plan address the most critical risks; Do they consider the long-term impact on the team and project.

 The ""Envelope Challenge"": Give the participant an envelope containing a small amount of ""seed money"" (e.g., $20000 of play money). The participant must use the seed money to create simple product or service. Evaluate the execution. How did the participant identify a market need and develop a product quickly; What was their approach to pricing and sales; This activity assesses creativity, resourcefulness, and a business-building mindset."
MANAGEMENT & ENTREPRENEURSHIP,Entrepreneurship & Small Business,"Business planning, budgeting, accounting basics, marketing fundamentals, operations planning, financial literacy","Initiative, creativity, resilience, adaptability, risk awareness","Drives innovation by creating, launching, and growing businesses that respond to real-world needs and opportunities.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"The ""In-Basket"" simulation: Provide participants with a series of emails, messages, and memos in an inbox. They must prioritize the items, make decisions based on the information given, and delegate tasks within a set time limit. This infers aptitude for management, organization, and critical thinking.

 The ""Survival Scenario"" challenge: Present a scenario, such as being stranded on a deserted island or a remote mountaintop. Provide a list of items and ask participants to rank them in order of importance for survival and they must justify their choices. This activity assesses problem-solving, logical reasoning, and teamwork.

 The resource allocation dilemma: Present a sudden, unforeseen problem, such as a project losing a key team member or a vendor failing to deliver critical materials. The participant must allocate limited resources (people, time, or budget) to mitigate the damage. Evaluate the participant’s rationale for their decisions. Does their plan address the most critical risks; Do they consider the long-term impact on the team and project.

 The ""Envelope Challenge"": Give the participant an envelope containing a small amount of ""seed money"" (e.g., $20000 of play money). The participant must use the seed money to create simple product or service. Evaluate the execution. How did the participant identify a market need and develop a product quickly; What was their approach to pricing and sales; This activity assesses creativity, resourcefulness, and a business-building mindset."
MANAGEMENT & ENTREPRENEURSHIP,Leadership & Operations,"Operations management, workflow planning, scheduling, resource allocation, basic HR practices","Leadership, collaboration, accountability, communication","Guides teams and manages resources to keep organizations efficient, competitive, and adaptable.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"The ""In-Basket"" simulation: Provide participants with a series of emails, messages, and memos in an inbox. They must prioritize the items, make decisions based on the information given, and delegate tasks within a set time limit. This infers aptitude for management, organization, and critical thinking.

 The ""Survival Scenario"" challenge: Present a scenario, such as being stranded on a deserted island or a remote mountaintop. Provide a list of items and ask participants to rank them in order of importance for survival and they must justify their choices. This activity assesses problem-solving, logical reasoning, and teamwork.

 The resource allocation dilemma: Present a sudden, unforeseen problem, such as a project losing a key team member or a vendor failing to deliver critical materials. The participant must allocate limited resources (people, time, or budget) to mitigate the damage. Evaluate the participant’s rationale for their decisions. Does their plan address the most critical risks; Do they consider the long-term impact on the team and project.

 The ""Envelope Challenge"": Give the participant an envelope containing a small amount of ""seed money"" (e.g., $20000 of play money). The participant must use the seed money to create simple product or service. Evaluate the execution. How did the participant identify a market need and develop a product quickly; What was their approach to pricing and sales; This activity assesses creativity, resourcefulness, and a business-building mindset."
MANAGEMENT & ENTREPRENEURSHIP,Project Management,"Project planning, scheduling, budgeting, task tracking, documentation, project tools","Organization, follow-through, adaptability, time management","Brings ideas to life by organizing people, tasks, and timelines to deliver results on schedule.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"The ""In-Basket"" simulation: Provide participants with a series of emails, messages, and memos in an inbox. They must prioritize the items, make decisions based on the information given, and delegate tasks within a set time limit. This infers aptitude for management, organization, and critical thinking.

 The ""Survival Scenario"" challenge: Present a scenario, such as being stranded on a deserted island or a remote mountaintop. Provide a list of items and ask participants to rank them in order of importance for survival and they must justify their choices. This activity assesses problem-solving, logical reasoning, and teamwork.

 The resource allocation dilemma: Present a sudden, unforeseen problem, such as a project losing a key team member or a vendor failing to deliver critical materials. The participant must allocate limited resources (people, time, or budget) to mitigate the damage. Evaluate the participant’s rationale for their decisions. Does their plan address the most critical risks; Do they consider the long-term impact on the team and project.

 The ""Envelope Challenge"": Give the participant an envelope containing a small amount of ""seed money"" (e.g., $20000 of play money). The participant must use the seed money to create simple product or service. Evaluate the execution. How did the participant identify a market need and develop a product quickly; What was their approach to pricing and sales; This activity assesses creativity, resourcefulness, and a business-building mindset."
MANAGEMENT & ENTREPRENEURSHIP,Regulation,"Compliance processes, policy interpretation, documentation, regulatory awareness, risk controls","Integrity, ethical judgment, responsibility","Ensures organizations operate responsibly by navigating laws, policies, and ethical standards in a complex world.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"The ""In-Basket"" simulation: Provide participants with a series of emails, messages, and memos in an inbox. They must prioritize the items, make decisions based on the information given, and delegate tasks within a set time limit. This infers aptitude for management, organization, and critical thinking.

 The ""Survival Scenario"" challenge: Present a scenario, such as being stranded on a deserted island or a remote mountaintop. Provide a list of items and ask participants to rank them in order of importance for survival and they must justify their choices. This activity assesses problem-solving, logical reasoning, and teamwork.

 The resource allocation dilemma: Present a sudden, unforeseen problem, such as a project losing a key team member or a vendor failing to deliver critical materials. The participant must allocate limited resources (people, time, or budget) to mitigate the damage. Evaluate the participant’s rationale for their decisions. Does their plan address the most critical risks; Do they consider the long-term impact on the team and project.

 The ""Envelope Challenge"": Give the participant an envelope containing a small amount of ""seed money"" (e.g., $20000 of play money). The participant must use the seed money to create simple product or service. Evaluate the execution. How did the participant identify a market need and develop a product quickly; What was their approach to pricing and sales; This activity assesses creativity, resourcefulness, and a business-building mindset."
MARKETING & SALES,"Market Research, Analytics & Ethics","Survey design, data analysis, statistics, market research tools, trend analysis, consumer insights","Critical thinking, curiosity, ethical awareness","Examines consumer behavior and market trends using data to shape products, messaging, and ethical business decisions.",Artistic:0.8; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"The ""Product Pitch"" simulation: Give participants a common household item and a target audience. In a short time frame, they must develop and pitch a new or improved version of the product, focusing on its design, features, and marketing angle. This assesses creativity, communication, and business sense.

 The Problem Client: The participant is tasked with creating a proposal for a difficult client. The scenario provides a brief outlining the client's problem and their initial negative feedback on a previous version of the proposal. This simulates roles in consulting, marketing, or project management and assesses strategic thinking and communication skills.

 The ""Data Analysis"" exercise: Give participants a small, fictional dataset (e.g., customer survey results, sales figures) and a specific business question to answer. Participants can analyze the data. This can help infer aptitude for data science, marketing, or research."
MARKETING & SALES,Marketing & Advertising,"Digital marketing, content creation, branding, campaign planning, media tools, audience targeting","Creativity, persuasion, communication","Shapes how brands connect with people through storytelling, digital media, and targeted campaigns.",Artistic:0.8; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"The ""Product Pitch"" simulation: Give participants a common household item and a target audience. In a short time frame, they must develop and pitch a new or improved version of the product, focusing on its design, features, and marketing angle. This assesses creativity, communication, and business sense.

 The Problem Client: The participant is tasked with creating a proposal for a difficult client. The scenario provides a brief outlining the client's problem and their initial negative feedback on a previous version of the proposal. This simulates roles in consulting, marketing, or project management and assesses strategic thinking and communication skills.

 The ""Data Analysis"" exercise: Give participants a small, fictional dataset (e.g., customer survey results, sales figures) and a specific business question to answer. Participants can analyze the data. This can help infer aptitude for data science, marketing, or research."
MARKETING & SALES,Retail & Customer Experience,"Retail operations, inventory management, point-of-sale systems, e-commerce basics, merchandising","Customer awareness, adaptability, attention to detail","Designs how customers interact with products, services, and brands in both physical and online spaces.",Artistic:0.8; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"The ""Product Pitch"" simulation: Give participants a common household item and a target audience. In a short time frame, they must develop and pitch a new or improved version of the product, focusing on its design, features, and marketing angle. This assesses creativity, communication, and business sense.

 The Problem Client: The participant is tasked with creating a proposal for a difficult client. The scenario provides a brief outlining the client's problem and their initial negative feedback on a previous version of the proposal. This simulates roles in consulting, marketing, or project management and assesses strategic thinking and communication skills.

 The ""Data Analysis"" exercise: Give participants a small, fictional dataset (e.g., customer survey results, sales figures) and a specific business question to answer. Participants can analyze the data. This can help infer aptitude for data science, marketing, or research."
MARKETING & SALES,Strategic Sales,"Sales strategies, presentations, negotiation, CRM systems, pipeline management","Confidence, relationship-building, professionalism",Builds long-term business growth by connecting customer needs with the right products or solutions.,Artistic:0.8; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"The ""Product Pitch"" simulation: Give participants a common household item and a target audience. In a short time frame, they must develop and pitch a new or improved version of the product, focusing on its design, features, and marketing angle. This assesses creativity, communication, and business sense.

 The Problem Client: The participant is tasked with creating a proposal for a difficult client. The scenario provides a brief outlining the client's problem and their initial negative feedback on a previous version of the proposal. This simulates roles in consulting, marketing, or project management and assesses strategic thinking and communication skills.

 The ""Data Analysis"" exercise: Give participants a small, fictional dataset (e.g., customer survey results, sales figures) and a specific business question to answer. Participants can analyze the data. This can help infer aptitude for data science, marketing, or research."
